iter	Passed	Remaining
550	989	806
551	991	804
552	993	802
553	994	800
554	996	798
555	998	797
556	999	795
557	1001	793
558	1003	791
559	1004	789
560	1006	787
561	1007	785
562	1009	783
563	1010	781
564	1012	779
565	1014	777
566	1016	776
567	1017	774
568	1019	772
569	1021	770
570	1023	768
571	1025	767
572	1029	767
573	1033	767
574	1035	765
575	1038	764
576	1040	762
577	1042	760
578	1044	759
579	1046	757
580	1048	755
581	1050	754
582	1052	752
583	1054	751
584	1055	749
585	1058	747
586	1060	746
587	1062	744
588	1064	742
589	1066	741
590	1068	739
591	1070	737
592	1072	735
593	1073	733
594	1075	732
595	1077	730
596	1078	728
597	1080	726
598	1081	724
599	1083	722
600	1085	720
601	1086	718
602	1088	716
603	1089	714
604	1091	712
605	1093	710
606	1095	709
607	1097	707
608	1099	705
609	1101	704
610	1102	701
611	1104	699
612	1105	698
613	1107	696
614	1109	694
615	1110	692
616	1112	690
617	1114	688
618	1115	686
619	1117	685
620	1119	683
621	1120	681
622	1122	679
623	1124	677
624	1125	675
625	1127	673
626	1129	671
627	1131	670
628	1132	668
629	1134	666
630	1136	664
631	1137	662
632	1139	660
633	1141	658
634	1142	656
635	1144	655
636	1146	653
637	1147	651
638	1149	649
639	1151	647
640	1152	645
641	1154	643
642	1156	642
643	1158	640
644	1159	638
645	1161	636
646	1163	634
647	1164	632
648	1166	630
649	1168	629
650	1170	627
651	1171	625
652	1173	623
653	1175	621
654	1178	620
655	1179	618
656	1181	616
657	1183	614
658	1184	612
659	1186	611
660	1187	609
661	1189	607
662	1190	605
663	1192	603
664	1194	601
665	1197	600
666	1200	599
667	1203	598
668	1206	596
669	1208	595
670	1210	593
671	1212	591
672	1214	590
673	1216	588
674	1218	586
675	1220	584
676	1222	583
677	1224	581
678	1226	580
679	1229	578
680	1231	576
681	1233	575
682	1235	573
683	1237	571
684	1239	569
685	1240	568
686	1242	566
687	1244	564
688	1245	562
689	1247	560
690	1248	558
691	1250	556
692	1252	554
693	1254	553
694	1256	551
695	1257	549
696	1259	547
697	1260	545
698	1262	543
699	1263	541
700	1265	539
701	1267	538
702	1268	536
703	1270	534
704	1272	532
705	1274	530
706	1275	528
707	1276	526
708	1278	524
709	1279	522
710	1280	520
711	1282	518
712	1284	517
713	1286	515
714	1288	513
715	1289	511
716	1291	509
717	1292	507
718	1294	505
719	1296	504
720	1298	502
721	1299	500
722	1301	498
723	1303	496
724	1304	494
725	1306	493
726	1308	491
727	1310	489
728	1311	487
729	1313	485
730	1315	484
731	1316	482
732	1318	480
733	1319	478
734	1321	476
735	1323	474
736	1325	472
737	1326	471
738	1328	469
739	1329	467
740	1331	465
741	1333	463
742	1334	461
743	1336	459
744	1337	457
745	1339	456
746	1341	454
747	1343	452
748	1344	450
749	1346	448
750	1347	446
751	1349	445
752	1351	443
753	1353	441
754	1354	439
755	1356	437
756	1358	435
757	1360	434
758	1361	432
759	1363	430
760	1365	428
761	1366	426
762	1369	425
763	1372	423
764	1376	422
765	1378	421
766	1380	419
767	1382	417
768	1383	415
769	1385	413
770	1387	412
771	1390	410
772	1392	408
773	1394	407
774	1396	405
775	1398	403
776	1401	402
777	1404	400
778	1405	398
779	1407	397
780	1409	395
781	1411	393
782	1413	391
783	1414	389
784	1416	388
785	1418	386
786	1420	384
787	1422	382
788	1424	380
789	1426	379
790	1427	377
791	1429	375
792	1431	373
793	1433	371
794	1434	369
795	1436	368
796	1438	366
797	1439	364
798	1441	362
799	1443	360
800	1444	358
801	1446	357
802	1448	355
803	1449	353
804	1451	351
805	1452	349
806	1454	347
807	1456	346
808	1458	344
809	1459	342
810	1461	340
811	1463	338
812	1465	337
813	1466	335
814	1468	333
815	1469	331
816	1471	329
817	1473	327
818	1474	325
819	1476	324
820	1478	322
821	1480	320
822	1481	318
823	1483	316
824	1485	315
825	1487	313
826	1488	311
827	1490	309
828	1492	307
829	1493	305
830	1495	304
831	1497	302
832	1499	300
833	1500	298
834	1502	296
835	1504	295
836	1505	293
837	1507	291
838	1509	289
839	1510	287
840	1512	286
841	1514	284
842	1515	282
843	1517	280
844	1519	278
845	1521	276
846	1522	275
847	1524	273
848	1526	271
849	1527	269
850	1529	267
851	1531	265
852	1533	264
853	1534	262
854	1535	260
855	1537	258
856	1540	257
857	1543	255
858	1546	253
859	1548	252
860	1550	250
861	1553	248
862	1555	246
863	1557	245
864	1559	243
865	1561	241
866	1563	239
867	1565	238
868	1567	236
869	1569	234
870	1572	232
871	1574	231
872	1575	229
873	1577	227
874	1579	225
875	1580	223
876	1582	221
877	1584	220
878	1586	218
879	1588	216
880	1589	214
881	1591	212
882	1593	211
883	1594	209
884	1596	207
885	1598	205
886	1600	203
887	1601	202
888	1603	200
889	1605	198
890	1606	196
891	1608	194
892	1610	192
893	1611	191
894	1613	189
895	1615	187
896	1617	185
897	1619	183
898	1620	182
899	1622	180
900	1624	178
901	1626	176
902	1627	174
903	1629	173
904	1631	171
905	1633	169
906	1634	167
907	1636	165
908	1638	164
909	1640	162
910	1641	160
911	1643	158
912	1645	156
913	1647	154
914	1649	153
915	1650	151
916	1652	149
917	1653	147
918	1655	145
919	1657	144
920	1658	142
921	1660	140
922	1662	138
923	1664	136
924	1665	135
925	1667	133
926	1669	131
927	1671	129
928	1672	127
929	1674	126
930	1676	124
931	1678	122
932	1679	120
933	1681	118
934	1683	117
935	1685	115
936	1686	113
937	1688	111
938	1690	109
939	1692	108
940	1693	106
941	1695	104
942	1697	102
943	1699	100
944	1700	98
945	1702	97
946	1704	95
947	1706	93
948	1707	91
949	1709	89
950	1712	88
951	1715	86
952	1718	84
953	1720	82
954	1722	81
955	1724	79
956	1726	77
957	1728	75
958	1730	73
959	1731	72
960	1733	70
961	1735	68
962	1737	66
963	1739	64
964	1741	63
965	1743	61
966	1745	59
967	1747	57
968	1749	55
969	1751	54
970	1753	52
971	1754	50
972	1756	48
973	1758	46
974	1760	45
975	1762	43
976	1764	41
977	1766	39
978	1767	37
979	1769	36
980	1771	34
981	1773	32
982	1775	30
983	1776	28
984	1778	27
985	1780	25
986	1781	23
987	1783	21
988	1785	19
989	1786	18
990	1788	16
991	1790	14
992	1791	12
993	1793	10
994	1795	9
995	1797	7
996	1798	5
997	1800	3
998	1802	1
999	1804	0
