iter	Logloss
0	0.6867810242
1	0.6805103699
2	0.6750881675
3	0.6693161595
4	0.6644179409
5	0.6591403754
6	0.6545825823
7	0.6489562501
8	0.643671018
9	0.6390883386
10	0.6340203812
11	0.6294033246
12	0.6246617048
13	0.6208281213
14	0.6167255499
15	0.6128774198
16	0.6088200779
17	0.60425974
18	0.6002294669
19	0.5960970156
20	0.5938089117
21	0.5897577439
22	0.585711964
23	0.582039479
24	0.5790685635
25	0.5754174944
26	0.5718995922
27	0.5685119398
28	0.56524818
29	0.5617960337
30	0.5586105877
31	0.5554185836
32	0.553408664
33	0.5502917491
34	0.5481406314
35	0.5448954034
36	0.5420225936
37	0.5391648881
38	0.5363650372
39	0.5342945366
40	0.5316610047
41	0.5289335203
42	0.5265914461
43	0.5242288482
44	0.5221585093
45	0.5201798305
46	0.5179306337
47	0.5155215947
48	0.5130323506
49	0.5107284621
50	0.5085043962
51	0.5063208454
52	0.504438612
53	0.5024687849
54	0.5006041914
55	0.4986199307
56	0.4966950805
57	0.4947740663
58	0.4928810966
59	0.4912211964
60	0.4895353636
61	0.4881244734
62	0.4863782483
63	0.4848187697
64	0.4833115613
65	0.4820176009
66	0.48039992
67	0.4786539027
68	0.4778471077
69	0.4762563004
70	0.475212472
71	0.4737984125
72	0.4727521074
73	0.4716417931
74	0.4703956031
75	0.4693219651
76	0.4679888966
77	0.4668067257
78	0.4653446384
79	0.4641071629
80	0.4633028739
81	0.4621046357
82	0.4611915696
83	0.460188993
84	0.4594132245
85	0.4582516503
86	0.4569344023
87	0.4560669408
88	0.4553831907
89	0.454566454
90	0.4537664161
91	0.4528567369
92	0.4519359869
93	0.4512463724
94	0.4501738951
95	0.4493063444
96	0.448239459
97	0.4478252953
98	0.4468386621
99	0.4459784593
100	0.4451360592
101	0.4444964906
102	0.444008395
103	0.4432420166
104	0.4424756602
105	0.4417693584
106	0.4411397019
107	0.4403615605
108	0.4395033748
109	0.43897363
110	0.4382681648
111	0.4375297429
112	0.4367380382
113	0.4360993668
114	0.4353976779
115	0.4347185502
116	0.4342479887
117	0.4339214232
118	0.4333378063
119	0.4327078645
120	0.4320167658
121	0.4316750031
122	0.4309969829
123	0.4302589309
124	0.4297714959
125	0.4291509235
126	0.4287247646
127	0.4284510708
128	0.4278956982
129	0.4276759852
130	0.4271263567
131	0.4270292158
132	0.4266231564
133	0.4261125039
134	0.4256728221
135	0.4253948421
136	0.4248849407
137	0.4243453752
138	0.42411109
139	0.4234976793
140	0.4232141698
141	0.4228559057
142	0.4224257585
143	0.4221598962
144	0.4216663518
145	0.4213037668
146	0.4208267074
147	0.4204618541
148	0.4202085312
149	0.4198052709
150	0.4194136849
151	0.4189558227
152	0.4186763938
153	0.4182006508
154	0.4180247207
155	0.417690482
156	0.4172564762
157	0.4168629831
158	0.4164312754
159	0.4159864082
160	0.4157030167
161	0.4153726862
162	0.4150413055
163	0.4146995398
164	0.4146097572
165	0.4144189342
166	0.4141025935
167	0.4140471236
168	0.4136562757
169	0.4133380865
170	0.4130734338
171	0.4126819338
172	0.4125751813
173	0.4122357253
174	0.4119695666
175	0.4115576949
176	0.4113286194
177	0.4110307328
178	0.4107591136
179	0.4104075588
180	0.4101487576
181	0.4100950858
182	0.4096780961
183	0.4095898971
184	0.409216733
185	0.4090050903
186	0.4088035397
187	0.4085174057
188	0.408335088
189	0.4080281603
190	0.4079591376
191	0.4077093761
192	0.4073838374
193	0.4071003469
194	0.4070420211
195	0.4070062672
196	0.4068052189
197	0.406574833
198	0.406232969
199	0.4061280958
200	0.4058933927
201	0.4056330822
202	0.4054550347
203	0.4052623618
204	0.4050954579
205	0.4050157111
206	0.4048714475
207	0.4047344679
208	0.4045868251
209	0.4044043884
210	0.4041717923
211	0.403960236
212	0.4038674654
213	0.4038405134
214	0.4036135217
215	0.4034224206
216	0.4031735589
217	0.4030115229
218	0.4028932495
219	0.4025923683
